id_duracion	duracion	fecha_creacion
10	0.0	15/01/2020 10:08
11	0.0	15/01/2020 10:21
12	0.0	15/01/2020 11:38
13	99.0	15/01/2020 12:10
14	20.0	15/01/2020 12:13
15	8.0	15/01/2020 12:14
16	57.0	15/01/2020 12:16
17	0.0	15/01/2020 12:19
18	55.0	15/01/2020 12:24
19	8.0	15/01/2020 12:30
20	15.0	15/01/2020 12:33
21	10.0	15/01/2020 12:37
22	50.0	15/01/2020 12:42
23	10.0	15/01/2020 13:00
24	10.0	15/01/2020 13:01
25	10.0	15/01/2020 13:02
26	10.0	15/01/2020 13:03
27	10.0	15/01/2020 13:04
28	8.0	15/01/2020 13:09
29	13.0	15/01/2020 13:09
30	13.0	15/01/2020 13:10
31	8.0	15/01/2020 13:25
32	10.0	15/01/2020 13:26
33	13.0	15/01/2020 13:33
34	13.0	15/01/2020 13:59
35	13.0	15/01/2020 14:00
36	9.0	15/01/2020 14:01
37	9.0	15/01/2020 14:33
38	7.0	15/01/2020 15:18
39	8.0	15/01/2020 15:58
40	8.0	15/01/2020 16:13
41	8.0	15/01/2020 16:36
42	9.0	15/01/2020 16:33
43	8.0	15/01/2020 16:38
44	7.0	15/01/2020 16:40
45	0.0	15/01/2020 16:50
46	210.0	15/01/2020 17:34
47	19.0	15/01/2020 17:21
48	12.0	15/01/2020 17:38
49	12.0	15/01/2020 17:39
50	8.0	15/01/2020 17:53
51	8.0	15/01/2020 18:39
52	8.0	15/01/2020 18:32
53	29.0	15/01/2020 19:02
54	13.0	15/01/2020 22:03
55	9.0	16/01/2020 0:25
56	9.0	16/01/2020 8:47
57	8.0	16/01/2020 8:55
58	8.0	16/01/2020 9:59
59	71.0	16/01/2020 10:14
60	15.0	16/01/2020 11:17
61	15.0	16/01/2020 11:20
62	13.0	16/01/2020 11:27
63	12.0	16/01/2020 11:35
64	8.0	15/01/2020 12:42
65	8.0	15/01/2020 12:40
66	8.0	15/01/2020 12:48
67	8.0	15/01/2020 12:54
68	9.0	15/01/2020 13:48
69	7.0	15/01/2020 15:00
70	19.0	15/01/2020 15:03
71	8.0	15/01/2020 16:36
72	5.0	15/01/2020 17:03
73	1.0	15/01/2020 17:11
74	15.0	15/01/2020 18:10
75	8.0	15/01/2020 18:16
76	15.0	16/01/2020 10:04
77	8.0	16/01/2020 10:25
78	8.0	16/01/2020 10:29
79	15.0	16/01/2020 10:52
80	9.0	16/01/2020 11:02
81	15.0	16/01/2020 11:23
82	195.0	16/01/2020 11:55
83	8.0	16/01/2020 12:51
84	47.0	16/01/2020 13:17
85	8.0	16/01/2020 13:41
86	8.0	16/01/2020 13:46
87	11.0	16/01/2020 15:19
88	18.0	16/01/2020 15:48
89	14.0	16/01/2020 15:55
90	20.0	16/01/2020 16:18
91	0.0	16/01/2020 16:22
92	7.0	16/01/2020 16:23
93	12.0	16/01/2020 16:41
94	14.0	16/01/2020 16:46
95	12.0	16/01/2020 16:48
96	11.0	16/01/2020 16:48
97	0.0	16/01/2020 16:53
98	14.0	16/01/2020 16:58
99	8.0	16/01/2020 17:06
100	8.0	16/01/2020 17:06
101	7.0	16/01/2020 17:22
102	0.0	16/01/2020 17:28
103	7.0	16/01/2020 17:51
104	8.0	16/01/2020 18:19
105	9.0	17/01/2020 0:55
106	19.0	17/01/2020 9:11
107	8.0	17/01/2020 9:07
108	19.0	17/01/2020 9:15
109	20.0	17/01/2020 9:18
110	22.0	17/01/2020 9:22
111	8.0	17/01/2020 9:48
112	10.0	17/01/2020 9:56
113	13.0	17/01/2020 10:03
114	8.0	17/01/2020 10:14
