id_estado	Prioridad	Estado	Entorno	SLA
100	Media	Cancelado	PRUEBA	
101	Media	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
102	Baja	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
103	Media	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
104	Alta	Cerrado	UAT	
105	Baja	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
106	Media	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
107	Alta	Cancelado	PRODUCTION	Dentro del Objetivo de servicio
108	Alta	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
109	Media	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
110	Media	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
111	Media	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
112	Media	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
113	Media	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
114	Media	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
115	Media	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
116	Media	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
117	Media	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
118	Alta	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
119	Media	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
120	Alta	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
121	Media	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
122	Alta	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
123	Media	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
124	Media	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
125	Media	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
126	Alta	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
127	Alta	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
128	Alta	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
129	Alta	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
130	Alta	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
131	Baja	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
132	Alta	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
133	Alta	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
134	Media	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
135	Alta	Cancelado	PRODUCTION	Dentro del Objetivo de servicio
136	Baja	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
137	Media	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
138	Media	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
139	Media	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
140	Alta	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
141	Alta	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
142	Media	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
143	Alta	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
144	Media	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
145	Baja	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
146	Media	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
147	Alta	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
148	Media	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
149	Media	Cancelado	CERT	
150	Media	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
151	Media	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
152	Media	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
153	Alta	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
154	Media	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
155	Media	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
156	Alta	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
157	Media	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
158	Media	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
159	Media	Cerrado	PRODUCTION	Dentro del Objetivo de servicio
160	Media	Cerrado	PRODUCTION	Objetivos de servicio incumplidos
