Num_incidente	Servicio	Tipo_Servicio	Torre
INC002000000012	CHRONOS	Petici¢n de serv. por el usuario	ESS
INC002000000013	DUNA	Petici¢n de serv. por el usuario	ESS
INC002000000014	TRAFUL	Petici¢n de serv. por el usuario	BSS
INC002000000016	OFFICE 365	Petici¢n de serv. por el usuario	ESS
INC002000000017	BI_EN	Restauraci¢n de servicio a usuario	BSS
INC002000000018	CHRONOS	Restauraci¢n de servicio a usuario	ESS
INC002000000019	OFFICE 365	Petici¢n de serv. por el usuario	ESS
INC002000000020	TRAFUL	Restauraci¢n de servicio a usuario	BSS
INC002000000022	TRAFUL	Restauraci¢n de servicio a usuario	BSS
INC002000000023	GLOBAL SAP	Petici¢n de serv. por el usuario	ESS
INC002000000024	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000025	INFINITY - SALESFORCE	Restauraci¢n de servicio a usuario	BSS
INC002000000027	OFFICE 365	Restauraci¢n de servicio a usuario	ESS
INC002000000032	CORPORATE EMAIL	Petici¢n de serv. por el usuario	ESS
INC002000000033	CORPORATE EMAIL	Petici¢n de serv. por el usuario	ESS
INC002000000034	CORPORATE EMAIL	Petici¢n de serv. por el usuario	ESS
INC002000000035	CORPORATE EMAIL	Petici¢n de serv. por el usuario	ESS
INC002000000036	CORPORATE EMAIL	Petici¢n de serv. por el usuario	ESS
INC002000000037	LOGOS	Restauraci¢n de servicio a usuario	ESS
INC002000000038	CORPORATE EMAIL	Petici¢n de serv. por el usuario	ESS
INC002000000040	BI_EN	Restauraci¢n de servicio a usuario	BSS
INC002000000045	OFFICE 365	Petici¢n de serv. por el usuario	ESS
INC002000000046	ONEDRIVE	Restauraci¢n de servicio a usuario	ESS
INC002000000047	CORPORATE EMAIL	Petici¢n de serv. por el usuario	ESS
INC002000000049	CORPORATE EMAIL	Petici¢n de serv. por el usuario	ESS
INC002000000052	CORPORATE EMAIL	Petici¢n de serv. por el usuario	ESS
INC002000000053	ONEDRIVE	Restauraci¢n de servicio a usuario	ESS
INC002000000054	TELESAP	Petici¢n de serv. por el usuario	BSS
INC002000000056	INFINITY - SALESFORCE	Restauraci¢n de servicio a usuario	BSS
INC002000000060	TRAFUL	Restauraci¢n de servicio a usuario	BSS
INC002000000061	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000062	NSIM	Restauraci¢n de servicio a usuario	OSS
INC002000000063	INFINITY - SALESFORCE	Petici¢n de serv. por el usuario	BSS
INC002000000064	SOLARWINDS	Petici¢n de serv. por el usuario	OSS
INC002000000065	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000067	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000069	BI_EN	Restauraci¢n de servicio a usuario	BSS
INC002000000070		Petici¢n de serv. por el usuario	SERVICIOS GENERALES
INC002000000072	CORPORATE EMAIL	Petici¢n de serv. por el usuario	ESS
INC002000000073	CORPORATE EMAIL	Petici¢n de serv. por el usuario	ESS
INC002000000076	SUGUS	Petici¢n de serv. por el usuario	BSS
INC002000000079	INFINITY - SALESFORCE	Restauraci¢n de servicio a usuario	BSS
INC002000000080	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000084	BI_EN	Petici¢n de serv. por el usuario	BSS
INC002000000086	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000088	SOLARWINDS	Petici¢n de serv. por el usuario	OSS
INC002000000089	OFFICE 365	Restauraci¢n de servicio a usuario	ESS
INC002000000090	TABLEAU	Restauraci¢n de servicio a usuario	BSS
INC002000000092	OFFICE 365	Restauraci¢n de servicio a usuario	ESS
INC002000000093	FAST ORDERING (TOMS)	Petici¢n de serv. por el usuario	BSS
INC002000000096	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000097	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000098	DNS	Petici¢n de serv. por el usuario	INFRA
INC002000000099	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000117	DUNA	Restauraci¢n de servicio a usuario	ESS
INC002000000118	INFINITY - SALESFORCE	Petici¢n de serv. por el usuario	BSS
INC002000000120	DUNA	Petici¢n de serv. por el usuario	ESS
INC002000000121	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000122		Evento de infraestructura	INFRA
INC002000000127	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000128	BART	Petici¢n de serv. por el usuario	ESS
INC002000000131	SOLARWINDS	Petici¢n de serv. por el usuario	OSS
INC002000000133	OMI PLATAFORMAS	Restauraci¢n de servicio a usuario	OSS
INC002000000138	DATAWAREHOUSE-POWERCENTER-BO	Restauraci¢n de servicio a usuario	BSS
INC002000000140	DUNA	Petici¢n de serv. por el usuario	ESS
INC002000000141	OFFICE 365	Restauraci¢n de servicio a usuario	ESS
INC002000000147	TELARIX	Petici¢n de serv. por el usuario	BSS
INC002000000148	TABLEAU	Petici¢n de serv. por el usuario	BSS
INC002000000149	WORKPLACE	Restauraci¢n de servicio a usuario	ESS
INC002000000153	BI_EN	Petici¢n de serv. por el usuario	BSS
INC002000000154	OFFICE 365	Restauraci¢n de servicio a usuario	ESS
INC002000000156	TELARIX	Restauraci¢n de servicio a usuario	BSS
INC002000000158	INFINITY - SALESFORCE	Restauraci¢n de servicio a usuario	BSS
INC002000000160	CORPORATE EMAIL	Restauraci¢n de servicio a usuario	ESS
INC002000000161	ROUTE EXPLORER (REX)	Restauraci¢n de servicio a usuario	OSS
INC002000000162	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000163	vMANAGE	Petici¢n de serv. por el usuario	INFRA
INC002000000165	FAST ORDERING (TOMS)	Petici¢n de serv. por el usuario	BSS
INC002000000166	DUNA	Restauraci¢n de servicio a usuario	ESS
INC002000000167	DUNA	Restauraci¢n de servicio a usuario	ESS
INC002000000168	ESB (JBOSS-FUSE)	Restauraci¢n de servicio a usuario	BSS
INC002000000169	ESB (JBOSS-FUSE)	Evento de infraestructura	BSS
INC002000000170	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000171	INFINITY - SALESFORCE	Restauraci¢n de servicio a usuario	BSS
INC002000000172	SEDA PORTAL	Petici¢n de serv. por el usuario	BSS
INC002000000173	GLOBAL SAP	Restauraci¢n de servicio a usuario	ESS
INC002000000174	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000175	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000176	DUNA	Restauraci¢n de servicio a usuario	ESS
INC002000000177	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000178	TABLEAU	Petici¢n de serv. por el usuario	BSS
INC002000000179	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000180	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000182	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000184	SUGUS	Petici¢n de serv. por el usuario	BSS
INC002000000186	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000187	FAST (TOMS + MANO)	Petici¢n de serv. por el usuario	BSS
INC002000000188	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000189	FAST ORDERING (TOMS)	Petici¢n de serv. por el usuario	BSS
INC002000000190	FAST ORDERING (TOMS)	Petici¢n de serv. por el usuario	BSS
INC002000000191	FAST ORDERING (TOMS)	Petici¢n de serv. por el usuario	BSS
INC002000000192	INFINITY - SALESFORCE	Petici¢n de serv. por el usuario	BSS
INC002000000193	MONITORING SYSTEM	Restauraci¢n de servicio a usuario	INFRA
INC002000000194	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000195	OFFICE 365	Restauraci¢n de servicio a usuario	ESS
INC002000000196	OFFICE 365	Restauraci¢n de servicio a usuario	ESS
INC002000000197	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000198	GLOBAL SAP	Restauraci¢n de servicio a usuario	ESS
INC002000000201	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000203	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000204	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000205	CORPORATE EMAIL	Restauraci¢n de servicio a usuario	ESS
INC002000000206	TEAMS	Restauraci¢n de servicio a usuario	ESS
INC002000000220	SUGUS	Petici¢n de serv. por el usuario	BSS
INC002000000221	WORKPLACE	Petici¢n de serv. por el usuario	ESS
INC002000000222	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000224	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000225	OMI PLATAFORMAS	Restauraci¢n de servicio a usuario	OSS
INC002000000229	GLOBAL SAP	Restauraci¢n de servicio a usuario	ESS
INC002000000230	FAST ORDERING (TOMS)	Restauraci¢n de servicio a usuario	BSS
INC002000000231	OMI PLATAFORMAS	Restauraci¢n de servicio a usuario	OSS
INC002000000239	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000240	GLOBAL SAP	Petici¢n de serv. por el usuario	ESS
INC002000000256	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000257	INFINITY - SALESFORCE	Petici¢n de serv. por el usuario	BSS
INC002000000258	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000264	GLOBAL SAP	Restauraci¢n de servicio a usuario	ESS
INC002000000271	DUNA	Restauraci¢n de servicio a usuario	ESS
INC002000000272	REMEDY ON DEMAND	Restauraci¢n de servicio a usuario	BSS
INC002000000273	OMI RED	Restauraci¢n de servicio a usuario	OSS
INC002000000274	OMI PLATAFORMAS	Restauraci¢n de servicio a usuario	OSS
INC002000000275	NSIM	Restauraci¢n de servicio a usuario	OSS
INC002000000276	NSIM	Restauraci¢n de servicio a usuario	OSS
INC002000000277	NSIM	Restauraci¢n de servicio a usuario	OSS
INC002000000278	REMEDY ON DEMAND	Petici¢n de serv. por el usuario	BSS
INC002000000279	NSIM	Restauraci¢n de servicio a usuario	OSS
INC002000000292	OMI PLATAFORMAS	Restauraci¢n de servicio a usuario	OSS
INC002000000293	OMI PLATAFORMAS	Restauraci¢n de servicio a usuario	OSS
INC002000000294	OMI PLATAFORMAS	Restauraci¢n de servicio a usuario	OSS
INC002000000295	NSIM	Restauraci¢n de servicio a usuario	OSS
INC002000000299	CORPORATE EMAIL	Petici¢n de serv. por el usuario	ESS
