Num_incidente	id_duracion	id_descripcion	id_estado
INC002000000012	10	100	-1
INC002000000013	11	101	101
INC002000000014	12	102	102
INC002000000016	13	103	103
INC002000000017	14	104	-1
INC002000000018	15	105	102
INC002000000019	16	106	103
INC002000000020	17	107	107
INC002000000022	18	108	108
INC002000000023	19	109	101
INC002000000024	20	110	103
INC002000000025	21	111	101
INC002000000027	22	112	103
INC002000000032	23	113	101
INC002000000033	24	113	101
INC002000000034	25	113	101
INC002000000035	26	113	103
INC002000000036	27	113	101
INC002000000037	28	118	118
INC002000000038	29	113	103
INC002000000040	30	120	108
INC002000000045	31	121	103
INC002000000046	32	118	108
INC002000000047	33	113	103
INC002000000049	34	124	103
INC002000000052	35	113	103
INC002000000053	36	126	108
INC002000000054	37	127	118
INC002000000056	38	128	118
INC002000000060	39	108	118
INC002000000061	40	130	108
INC002000000062	41	131	102
INC002000000063	42	132	108
INC002000000064	43	133	118
INC002000000065	44	134	101
INC002000000067	45	135	107
INC002000000069	46	136	136
INC002000000070	47	137	101
INC002000000072	48	113	103
INC002000000073	49	113	103
INC002000000076	50	140	118
INC002000000079	51	141	108
INC002000000080	52	142	103
INC002000000084	53	143	108
INC002000000086	54	144	103
INC002000000088	55	145	102
INC002000000089	56	146	101
INC002000000090	57	147	108
INC002000000092	58	148	103
INC002000000093	59	149	-1
INC002000000096	60	150	103
INC002000000097	61	151	103
INC002000000098	62	152	103
INC002000000099	63	153	108
INC002000000117	64	154	101
INC002000000118	65	155	101
INC002000000120	66	156	118
INC002000000121	67	157	103
INC002000000122	68	158	101
INC002000000127	69	159	101
INC002000000128	70	160	103
INC002000000131	71	161	102
INC002000000133	72	162	118
INC002000000138	73	163	136
INC002000000140	74	164	101
INC002000000141	75	165	103
INC002000000147	76	166	101
INC002000000148	77	167	118
INC002000000149	78	168	103
INC002000000153	79	169	102
INC002000000154	80	170	136
INC002000000156	81	171	103
INC002000000158	82	172	103
INC002000000160	83	173	118
INC002000000161	84	174	108
INC002000000162	85	175	118
INC002000000163	86	176	118
INC002000000165	87	177	101
INC002000000166	88	178	108
